ISBN,Book_avg_rating,Book_rating_count,Book_rating_std,Year_Of_Publication,Publisher,Genre,Title_Author_combined,Genre_grouped
0399135782,3.9545454545454546,22,3.9545454545454546,1991,Putnam Pub Group,Fiction,The Kitchen God's Wife Amy Tan,Fiction
0440234743,2.325174825174825,286,2.325174825174825,1999,Dell,Religious Non-fiction,The Testament John Grisham,Non_Fiction
0452264464,3.0839694656488548,131,3.0839694656488548,1994,Plume,Historical Fiction,Beloved (Plume Contemporary Fiction) Toni Morrison,Historical
0971880107,0.6415711947626841,1222,0.6415711947626841,2004,Too Far,Adventure,Wild Animus Rich Shapero,Adventure
0345402871,2.0785714285714287,140,2.0785714285714287,1997,Ballantine Books,Technothriller,Airframe Michael Crichton,Thriller_Mystery
0345417623,3.012,250,3.012,2000,Ballantine Books,Thriller,Timeline MICHAEL CRICHTON,Thriller_Mystery
0446310786,4.489051094890511,274,4.489051094890511,1988,Little Brown &amp; Company,Classic,To Kill a Mockingbird Harper Lee,Fiction
0449005615,3.201388888888889,144,3.201388888888889,2002,Ballantine Books,Biography,Seabiscuit: An American Legend LAURA HILLENBRAND,Non_Fiction
0060168013,2.433333333333333,30,2.433333333333333,1993,Harpercollins,Fiction,Pigs in Heaven Barbara Kingsolver,Fiction
055321215X,0.0,2,0.0,1983,Bantam,Romance,Pride and Prejudice Jane Austen,Romance
0061099686,1.2424242424242424,33,1.2424242424242424,1995,HarperTorch,Crime Fiction,Downtown Anne Rivers Siddons,Thriller_Mystery
0553582909,3.4,20,3.4,2000,Bantam Books,Thriller,Icebound Dean R. Koontz,Thriller_Mystery
0671888587,1.7642276422764227,123,1.7642276422764227,1994,Pocket,Romance,I'll Be Seeing You Mary Higgins Clark,Romance
0553582747,3.2672413793103448,116,3.2672413793103448,2001,Bantam Books,Thriller,From the Corner of His Eye Dean Koontz,Thriller_Mystery
0425182908,1.6818181818181819,154,1.6818181818181819,2002,Berkley Publishing Group,Crime,Isle of Dogs Patricia Cornwell,Thriller_Mystery
042518630X,2.1777777777777776,90,2.1777777777777776,2002,Berkley Publishing Group,Crime,Purity in Death J.D. Robb,Thriller_Mystery
0440223571,1.98,50,1.98,1997,Dell,Unknown,This Year It Will Be Different: And Other Stories Maeve Binchy,Unknown
0842342702,1.9876543209876543,81,1.9876543209876543,2000,Tyndale House Publishers,Religious Fiction,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) Tim Lahaye,Religious
0440225701,1.9253731343283582,268,1.9253731343283582,1999,Dell,Legal Thriller,The Street Lawyer JOHN GRISHAM,Thriller_Mystery
042511774X,1.4316546762589928,139,1.4316546762589928,1994,Berkley Publishing Group,Literary Fiction,Breathing Lessons Anne Tyler,Fiction
0804106304,2.578125,384,2.578125,1994,Prentice Hall (K-12),Fiction,The Joy Luck Club Amy Tan,Fiction
0140067477,3.781021897810219,137,3.781021897810219,1983,Penguin Books,Philosophy,The Tao of Pooh Benjamin Hoff,Non_Fiction
0345465083,1.7619047619047619,126,1.7619047619047619,2003,Ballantine Books,Biography,Seabiscuit LAURA HILLENBRAND,Non_Fiction
1558531025,3.388888888888889,72,3.388888888888889,1991,Thomas Nelson,Unknown,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) H. Jackson Brown,Unknown
0441783589,2.3773584905660377,53,2.3773584905660377,1987,Ace Books,Science Fiction,Starship Troopers Robert A. Heinlein,SciFi_Fantasy
0316769487,4.116666666666666,240,4.116666666666666,1991,"Little, Brown",Literary Fiction,The Catcher in the Rye J.D. Salinger,Fiction
