User_ID,user_avg_rating,user_rating_count,user_rating_std,Age_Group,Country,favourite_author,old_books_ratio,recent_books_ratio,genre_diversity
8,0.0,1,0.0,Unknown,canada,Amy Tan,1.0,0.0,1
242,6.0,3,5.291502622129181,Middle_Age,germany,RAY BRADBURY,0.6666666666666666,0.3333333333333333,3
243,2.0508474576271185,59,3.4860496802084384,Unknown,usa,James Patterson,0.576271186440678,0.423728813559322,18
254,2.044943820224719,89,3.720062659417149,Young_Adult,usa,J. K. Rowling,0.6853932584269663,0.3146067415730337,19
383,1.25,8,3.5355339059327378,Unknown,usa,John Grisham,0.25,0.75,5
388,3.3,10,3.8600518131237562,Adult,usa,Rebecca Wells,0.8,0.2,8
408,0.0,3,0.0,Teen,usa,Anne McCaffrey,0.6666666666666666,0.3333333333333333,3
446,1.8333333333333333,6,3.2506409624359724,Unknown,usa,Anita Diamant,0.5,0.5,5
487,2.0,14,3.305007855221667,Unknown,usa,John Grisham,0.35714285714285715,0.6428571428571429,9
503,5.0,8,5.3452248382484875,Middle_Age,usa,Anne Lamott,0.625,0.375,3
505,6.0,5,3.3911649915626336,Senior,usa,ANNE RICE,0.6,0.4,4
507,2.2972972972972974,37,3.6275555349517608,Unknown,usa,Kay Hooper,0.40540540540540543,0.5945945945945946,10
626,0.0,1,0.0,Middle_Age,austria,Rich Shapero,0.0,1.0,1
638,7.184210526315789,38,4.125433724342236,Young_Adult,usa,Nicholas Sparks,0.42105263157894735,0.5789473684210527,12
643,7.0,1,0.0,Young_Adult,france,Winston Groom,1.0,0.0,1
651,4.666666666666667,6,3.6696957185394363,Adult,usa,Dean R. Koontz,0.6666666666666666,0.3333333333333333,4
709,6.0,4,3.1622776601683795,Teen,usa,Alice Sebold,0.5,0.5,4
728,0.0,6,0.0,Unknown,usa,Tom Clancy,1.0,0.0,5
735,3.875,8,4.454131308603925,Adult,usa,Alice McDermott,0.5,0.5,6
741,0.625,16,2.5,Teen,usa,Dean R. Koontz,0.75,0.25,7
805,5.5,16,4.066120181860509,Adult,usa,Alice Walker,0.875,0.125,9
876,0.0,2,0.0,Adult,usa,Michael Crichton,0.5,0.5,2
882,2.54,50,4.091853529407236,Young_Adult,usa,Nora Roberts,0.7,0.3,18
901,0.0,1,0.0,Young_Adult,united kingdom,Rich Shapero,0.0,1.0,1
929,3.5294117647058822,17,3.954706801060344,Middle_Age,Unknown,ANNE FRANK,0.9411764705882353,0.058823529411764705,8
1025,3.9,10,4.254409477236529,Adult,united kingdom,Philip Pullman,0.6,0.4,5
1131,3.9411764705882355,34,3.6008515530785745,Young_Adult,Unknown,Jane Austen,0.6764705882352942,0.3235294117647059,10
1155,8.333333333333334,3,2.081665999466133,Young_Adult,usa,Marian Keyes,0.3333333333333333,0.6666666666666666,2
1167,1.4444444444444444,9,2.96273147243853,Young_Adult,usa,Diane Johnson,0.4444444444444444,0.5555555555555556,4
1184,1.0,7,2.6457513110645907,Middle_Age,usa,Mary Higgins Clark,0.2857142857142857,0.7142857142857143,3
1211,3.4,5,4.669047011971501,Young_Adult,france,Dan Brown,0.4,0.6,3
1248,10.0,2,0.0,Unknown,usa,Brian Herbert,0.5,0.5,2
1424,3.125,24,3.5301496457996127,Unknown,australia,Barbara Kingsolver,0.375,0.625,9
1435,2.7906976744186047,43,3.642069921237776,Middle_Age,usa,Jeffery Deaver,0.627906976744186,0.37209302325581395,13
1485,0.0,1,0.0,Adult,usa,Arlene Eisenberg,1.0,0.0,1
1548,6.166666666666667,6,3.2506409624359724,Adult,usa,Alice Hoffman,0.3333333333333333,0.6666666666666666,4
1585,6.5,8,1.1952286093343936,Adult,usa,Jonathan Kellerman,0.625,0.375,5
1674,5.363636363636363,11,4.500505022166452,Adult,usa,ANNE RICE,0.5454545454545454,0.45454545454545453,7
1733,4.333333333333333,21,3.991657967979388,Adult,usa,Mary Higgins Clark,0.38095238095238093,0.6190476190476191,10
1812,1.75,4,3.5,Young_Adult,usa,DIANE MOTT DAVIDSON,1.0,0.0,3
1848,3.142857142857143,28,4.39456133330385,Young_Adult,usa,Frank Herbert,0.7142857142857143,0.2857142857142857,9
1903,1.6153846153846154,26,3.4880014114323186,Middle_Age,taiwan,Stephen King,0.5769230769230769,0.4230769230769231,8
1928,1.8,10,3.823901439919996,Teen,usa,Alice Sebold,0.4,0.6,6
2010,2.5555555555555554,9,3.9721250959376615,Unknown,usa,Carl Hiaasen,0.2222222222222222,0.7777777777777778,5
2012,4.545454545454546,11,4.180039147272101,Adult,Unknown,DEAN KOONTZ,0.7272727272727273,0.2727272727272727,7
2030,10.0,3,0.0,Adult,usa,Helen Fielding,0.6666666666666666,0.3333333333333333,3
2033,3.923076923076923,26,4.444529913708102,Adult,usa,J. K. Rowling,0.6538461538461539,0.34615384615384615,9
2046,0.0,2,0.0,Young_Adult,usa,Agatha Christie,0.5,0.5,2
2090,0.0,4,0.0,Adult,usa,Julie Garwood,0.5,0.5,3
2103,4.5,2,6.363961030678928,Middle_Age,usa,John Grisham,0.5,0.5,2
2110,4.6,20,4.222745427724529,Unknown,usa,Lilian Jackson Braun,0.55,0.45,9
2132,0.0,1,0.0,Unknown,usa,Jane Heller,0.0,1.0,1
2179,7.875,8,3.2705394924123103,Adult,usa,Dan Brown,0.375,0.625,5
2276,3.9827586206896552,58,4.446529809213318,Middle_Age,usa,James Patterson,0.6551724137931034,0.3448275862068966,17
2288,4.2727272727272725,11,4.4066066103274775,Adult,usa,Dean R. Koontz,0.6363636363636364,0.36363636363636365,4
2313,5.6,10,3.6270588023294517,Young_Adult,usa,Amy Tan,0.9,0.1,3
2337,7.111111111111111,9,2.803767306876787,Adult,usa,Ayn Rand,0.5555555555555556,0.4444444444444444,5
2358,0.4444444444444444,18,1.8856180831641267,Young_Adult,usa,Robin Cook,0.7777777777777778,0.2222222222222222,8
2719,0.0,1,0.0,Middle_Age,usa,Rebecca Wells,0.0,1.0,1
2766,2.9692307692307693,65,3.8607367770334275,Middle_Age,usa,Maeve Binchy,0.676923076923077,0.3230769230769231,19
2790,2.0,5,4.47213595499958,Middle_Age,usa,Alice Sebold,0.6,0.4,4
2793,0.9,20,2.221900561515559,Adult,usa,Nora Roberts,0.25,0.75,7
2799,6.0,6,4.690415759823429,Unknown,usa,Robert Jordan,0.8333333333333334,0.16666666666666666,4
2891,2.4583333333333335,48,3.5726998750473182,Unknown,usa,Barbara Kingsolver,0.6041666666666666,0.3958333333333333,14
2977,1.967741935483871,31,3.092829028227953,Young_Adult,usa,John Grisham,0.6451612903225806,0.3548387096774194,11
3145,2.3703703703703702,27,3.79420761108448,Adult,usa,Carl Hiaasen,0.5555555555555556,0.4444444444444444,11
3167,4.681818181818182,22,4.179158762881349,Middle_Age,usa,Lilian Jackson Braun,0.8636363636363636,0.13636363636363635,11
3282,1.1428571428571428,7,3.023715784073818,Senior,canada,JEAN M. AUEL,0.8571428571428571,0.14285714285714285,5
3331,3.8181818181818183,11,4.665151269105468,Senior,usa,Nicholas Sparks,0.36363636363636365,0.6363636363636364,5
3346,4.714285714285714,7,4.572172558506722,Young_Adult,iran,Neil Gaiman,0.7142857142857143,0.2857142857142857,5
3363,0.7658227848101266,158,2.584046403516876,Adult,usa,Jack Canfield,0.5443037974683544,0.45569620253164556,25
3371,2.302325581395349,43,3.8392390349733816,Young_Adult,usa,Nora Roberts,0.6511627906976745,0.3488372093023256,15
3373,3.857142857142857,21,3.4100691237233636,Adult,usa,Dan Brown,0.2857142857142857,0.7142857142857143,10
3538,4.0,2,5.656854249492381,Adult,spain,Toni Morrison,0.5,0.5,2
3556,3.45,20,4.828370107472794,Senior,usa,J.R.R. TOLKIEN,0.65,0.35,9
3578,9.2,5,0.8366600265340758,Young_Adult,canada,Arthur C. Clarke,1.0,0.0,4
3640,3.375,8,3.7392703642746747,Unknown,usa,Mary Higgins Clark,0.375,0.625,4
3643,0.0,3,0.0,Unknown,usa,Dennis Lehane,0.0,1.0,2
3675,3.5,2,4.949747468305833,Young_Adult,spain,Ken Follett,1.0,0.0,1
3693,4.0,2,5.656854249492381,Young_Adult,usa,Neil Gaiman,0.5,0.5,2
3719,7.8,5,0.8366600265340756,Teen,usa,Carl Hiaasen,0.8,0.2,5
3757,4.0,4,4.69041575982343,Unknown,spain,Philip Pullman,0.75,0.25,3
3827,6.533333333333333,15,3.58302877997027,Young_Adult,usa,Anne Rice,0.7333333333333333,0.26666666666666666,9
3840,1.8888888888888888,9,3.7564758898615485,Middle_Age,usa,Nora Roberts,0.2222222222222222,0.7777777777777778,3
